Invoice,StockCode,Quantity
489517,16207A,2
489517,21821,1
489517,85123A,1
489517,22319,12
489517,22130,6
489517,21584,20
489517,20972,1
489517,21791,6
489517,21790,4
489517,21931,1
489517,20711,1
489517,47591A,1
489517,84997B,12
489517,84997A,12
489517,21491,1
489517,22122,12
489517,20971,1
489517,21252,1
489517,21837,2
489517,84951A,1
489517,22335,1
489517,21791,1
489517,21790,1
489517,85129A,1
489517,84791,1
489517,21244,4
489517,20675,4
489519,22086,12
489519,85123A,32
489519,82616B,6
489519,22276,6
489519,84912B,4
489519,85014C,3
489519,85014A,3
489519,85014B,3
489519,85014D,3
489519,21326,12
489519,84946,12
489519,84949,6
489519,21491,6
489519,21908,6
489519,21181,6
489519,82483,3
489519,79323S,4
489519,21371,6
489519,85152,6
489519,21133,12
489519,20984,12
489519,20982,12
489519,84971L,12
489519,21912,8
489519,90168,6
489519,84884A,5
489519,79323W,4
489519,90013C,4
489519,90023,2
489519,90067A,6
489519,90067B,6
489519,90145,2
489519,90000A,2
489519,90024B,2
489519,90036D,3
489519,90134,6
489519,90131,2
489519,90199C,2
489520,35751C,12
489520,72739B,12
489520,22114,8
489520,22212,6
489520,21523,2
489520,48187,2
489520,48195,2
489520,72741,36
489520,85232D,3
489520,20828,6
489520,22080,10
489520,22082,10
489520,21754,6
489520,21784,4
489520,21172,12
489520,21181,6
489520,82600,12
489520,22282,4
489520,21842,54
489520,22089,6
489520,21430,4
489520,20734,10
489520,21133,12
489520,35071,12
489520,22083,6
489520,22086,6
489520,22121,3
489520,21485,3
489520,84836,12
489520,22122,12
489522,21916,3
489522,72760B,1
489522,37492A,1
489522,21479,2
489522,10133,6
489522,22113,4
489522,20782,1
489522,22190,1
489522,22111,2
489522,84029G,1
489522,22114,1
489522,21489,1
489522,20987,6
489522,20989,2
489522,21868,1
489522,21875,1
489522,21869,1
489522,21826,3
489522,21827,3
489522,21828,3
489522,16225,4
489522,21829,36
489522,21582,2
489522,21584,2
489522,21638,6
489522,35400,2
489522,22218,1
489522,22222,1
489522,22300,3
489522,22301,3
489522,22305,3
489522,22304,3
489522,22302,3
489522,22303,3
489522,22127,6
489522,22130,24
489522,21143,7
489522,21639,10
489522,22154,6
489522,22155,6
489522,22294,6
489522,21133,6
489522,21889,2
489522,85045,2
489522,85044,2
489522,21888,3
489522,21587,6
489522,21588,2
489522,21586,4
489522,21818,6
489522,21819,6
489522,21817,6
489522,48111,1
489522,20685,1
489522,48194,1
489522,21495,25
489522,47505,2
489522,10135,6
489522,22125,4
489522,37492C,1
489522,20677,1
489522,20676,1
489522,20675,1
489522,21086,8
489522,21948,6
489522,21833,12
489522,21832,5
489522,22315,1
489522,21870,1
489522,82600,1
489522,21181,2
489522,22115,1
489522,21166,2
489522,21175,2
489522,21174,1
489522,21908,3
489522,82582,1
489522,85152,2
489522,85150,1
489522,22197,10
489522,21094,4
489522,72724,7
489522,22103,6
489522,37424,6
489522,21136,8
489522,21755,1
489522,84879,8
489522,84997B,1
489522,84997D,1
489522,84997C,1
489522,21238,4
489522,21240,4
489522,21239,4
489522,84007,4
489522,84012,4
489522,22077,1
489522,85049A,2
489522,85049E,2
489522,22075,2
489522,22076,1
489522,79323W,1
489522,79323LP,1
489522,79342B,1
489522,79341,6
489523,84879,800
489526,85049E,12
489526,21976,24
489526,21498,25
489526,22077,12
489526,84946,12
489526,84948,24
489526,21537,4
489526,21733,6
489526,85123A,6
489526,20718,10
489526,21539,3
489526,16169F,25
489526,84836,24
489526,21527,2
489526,21533,6
489526,21531,6
489526,22180,3
489526,22333,8
489526,22319,24
489526,85232B,9
489526,20676,8
489526,20914,12
489526,21217,3
489526,21238,16
489526,21242,8
489526,22232,8
489526,21535,6
489526,21844,6
489526,22073,4
489526,22072,4
489526,22321,24
489526,15056BL,6
489526,15056N,6
489526,21731,12
489526,22254,12
489526,22255,12
489526,46000S,2
489526,20964,3
489526,21788,24
489526,21789,24
489526,20682,6
489526,85014C,3
489526,84832,24
489526,POST,6
489529,85063,1
489529,48129,1
489529,21491,1
489529,22030,1
489529,21081,1
489529,20773,1
489529,20767,1
489529,22028,12
489529,20622,1
489529,21122,1
489529,21124,1
489529,20657,1
489529,16156N,25
489529,20673,4
489529,22300,6
489529,84520B,1
489529,22086,1
489529,20619,1
489529,21864,1
489529,21866,1
489529,20660,1
489529,21489,1
489529,16207A,1
489529,20777,1
489529,20774,2
489529,22029,12
489529,22030,12
489529,22024,12
489529,22037,12
489529,22036,12
489529,21833,2
489529,21726,3
489529,21544,2
489529,21004,1
489529,20984,1
489529,20982,2
489529,84402D,1
489529,84660B,1
489529,21429,4
489529,72754B,1
489529,21500,25
489529,21431,4
489529,21912,2
489529,22086,3
489529,20748,1
489529,21490,2
489529,72802B,3
489531,79029,1
489531,71477,12
489531,85042,4
489531,85123A,5
489531,21590,4
489531,21591,7
489531,21582,8
489531,21587,6
489531,82486,1
489531,82483,1
489531,22112,1
489531,22111,1
489531,72801E,2
489531,21034,1
489532,85049D,12
489532,21985,48
489532,21980,48
489532,16235,60
489532,22083,6
489532,22086,6
489532,22111,3
489532,84347,6
489532,21485,3
489532,21212,24
489532,84990,24
489532,85231E,12
489532,85231B,24
489532,72008,12
489532,22071,6
489532,22070,6
489532,22077,9
489532,20892,2
489532,84270,30
489532,85049C,12
489533,84352,1
489533,79067,1
489533,22203,1
489533,21353,4
489533,84946,6
489533,22300,6
489533,21535,1
489533,21540,2
489533,21538,1
489533,22073,1
489533,21534,1
489533,21533,1
489533,84836,12
489533,85053,2
489533,21756,1
489533,22118,1
489533,21754,2
489533,84970S,12
489533,22118,2
489533,21755,2
489536,21375,2
489536,22109,1
489536,21864,1
489536,48129,1
489536,22186,1
489536,47504K,2
489536,47504F,2
489536,21809,1
489536,22075,1
489536,21186,2
489536,22086,1
489536,21611,2
489536,22113,2
489536,21480,1
489536,22295,2
489536,85170A,1
489536,85033S,1
489536,35991,1
489536,22185,2
489536,21786,1
489536,20752,1
489536,20754,1
489536,84388,1
489536,21865,1
489536,21832,1
489536,85071A,1
489536,85071B,1
489536,21948,1
489536,21791,2
489536,21918,2
489536,22086,2
489536,21493,2
489536,21491,2
489536,51012C,1
489536,21034,1
489536,84671B,1
489536,21747,1
489536,22197,1
489536,22107,1
489536,22330,1
489536,22139,1
489536,84375,1
489536,84952B,2
489536,20961,1
489536,20960,1
489536,20966,1
489536,17164D,1
489536,21791,6
489536,21890,1
489536,22353,1
489536,85170D,1
489536,17091J,1
489536,79067,1
489536,20975,7
489536,20677,1
489536,20675,1
489536,20676,2
489536,21440,1
489536,22174,2
489536,22142,1
489536,22150,2
489536,22147,2
489536,21356,1
489536,21357,1
489536,21166,1
489536,20728,4
489536,21677,6
489536,21680,6
489536,21730,1
489536,21788,1
489536,21789,1
489536,20660,1
489536,70007,1
489536,70006,1
489536,21650,1
489536,22147,1
489536,21892,1
489536,85227,1
489536,85227,3
489536,20655,1
489536,21791,1
489536,21990,1
489536,21231,1
489536,22064,4
489536,21934,1
489536,21578,1
489536,21579,1
489536,21577,2
489536,21931,5
489536,85099B,5
489536,20713,1
489536,20712,1
489536,16047,1
489536,21561,1
489536,20814,1
489536,21122,1
489536,21232,3
489536,84946,6
489536,22068,4
489536,21377,1
489536,21379,1
489536,20956,1
489536,21018,1
489536,35995,1
489536,21578,2
489536,22355,9
489536,21934,2
489536,22356,3
489536,21581,4
489536,20956,2
489536,20727,3
489536,21071,1
489536,21068,1
489536,22189,1
489536,48179,1
489537,48129,1
489537,21523,1
489537,48188,2
489537,48111,2
489537,48194,2
489537,20685,2
489537,48195,2
489537,48184,2
489537,21733,10
489537,21777,4
489537,20969,4
489537,20970,4
489537,20968,4
489537,20967,2
489537,21737,1
489537,84899E,2
489537,84899F,3
489537,84898F,5
489537,20971,5
489537,20972,5
489537,22207,1
489537,21016,1
489537,22115,1
489537,22273,2
489537,20828,6
489537,20829,6
489537,85231B,5
489537,85231G,5
489537,21407,1
489537,21410,2
489537,72800F,1
489537,21411,4
489537,21993,3
489537,84032B,4
489537,22125,3
489537,84032A,4
489537,21482,3
489537,21479,2
489537,21480,5
489537,21486,2
489537,21481,3
489537,72008,24
489537,21231,20
489537,21232,20
489537,21813,1
489537,21812,4
489537,21489,3
489537,21488,3
489537,84029E,1
489537,75013B,3
489537,72800E,4
489537,72800F,3
489537,72801G,3
489537,72801F,6
489537,72801E,6
489537,21790,11
489537,21791,6
489537,21888,3
489537,21351,2
489540,21732,24
489540,21754,24
489540,22083,58
489540,22086,58
489540,84946,24
489539,22086,160
489539,22083,160
489539,85041,48
489539,85040B,192
489539,84879,96
489539,79323P,24
489539,48184,20
489539,37461,96
489539,22139,72
489539,21700,144
489539,21673,60
489539,21671,60
489539,21669,60
489539,21500,100
489539,20692,96
489539,20685,30
489539,16237,180
489542,37410,216
489542,22139,48
489544,22086,18
489544,84347,18
489544,22065,12
489544,21813,6
489544,84251F,12
489544,20975,24
489544,21080,12
489544,21844,6
489544,22070,6
489544,21980,48
489544,21967,48
489544,22125,3
489544,21364,1
489544,21809,12
489545,90062,1
489545,21480,2
489545,22110,1
489545,22113,1
489545,21484,2
489545,20914,1
489545,84977,6
489545,21868,1
489545,18010,6
489545,21162,1
489545,37370,2
489545,22152,15
489545,72267,3
489545,22139,4
489545,22143,1
489545,22197,3
489545,22081,1
489545,22079,1
489545,22273,1
489545,22272,1
489545,22274,1
489545,21124,1
489545,21122,1
489545,20758,3
489545,20756,3
489545,21126,1
489545,21125,1
489545,22154,8
489545,22102,3
489545,35955,4
489545,35954,6
489545,35957,6
489546,84050,6
489546,47568,6
489546,84782A,2
489546,84782C,1
489546,21232,12
489546,21231,12
489546,22186,6
489546,22169,4
489546,82494L,6
489546,84933A,6
489546,84933B,6
489546,22201,4
489546,37503,4
489546,48185,4
489547,22086,18
489547,21871,12
489547,21875,12
489547,21587,12
489547,21593,24
489547,21591,24
489547,21590,24
489547,22083,6
489547,22085,6
489547,21493,12
489547,22138,3
489547,21930,10
489547,85099B,10
489547,85099C,10
489547,20719,10
489547,22356,100
489547,20724,10
489547,20727,10
489547,20726,10
489547,20725,20
489547,22348,12
489547,85061W,240
489546,48188,2
489546,48194,2
489546,48129,2
489546,84997D,6
489546,21781,1
489546,22111,3
489546,21485,3
489546,21484,4
489546,20692,9
489546,20768,6
489546,21082,12
489546,47591D,8
489546,47591B,8
489546,21004,3
489546,21212,24
489546,20751,12
489546,22195,12
489546,22196,12
489546,22199,4
489550,48187,2
489550,21523,2
489550,84968C,4
489550,84968F,2
489550,84968B,2
489550,21977,48
489550,22276,6
489550,72760B,4
489550,85231L,12
489550,85231G,12
489550,21618,6
489550,21615,6
489550,21619,6
489550,21612,6
489550,85049A,12
489550,85049B,12
489550,85049G,12
489550,21175,6
489550,21770,2
489550,20747,2
489550,37500,2
489550,84991,48
489550,21637,18
489552,35400,1
489552,21901,10
489552,21900,10
489552,21902,12
489552,22079,2
489552,21223,2
489552,21162,4
489552,85049D,2
489552,85049H,1
489552,85049G,3
489552,22086,2
489552,22130,18
489552,72756,9
489552,84997A,6
489552,84997D,6
489552,84997B,6
489552,84997C,6
489552,21576,1
489552,21580,1
489552,22111,8
489552,21479,10
489552,21490,3
489552,22271,2
489552,22273,2
489552,22272,2
489556,20866,2
489556,20867,2
489556,20979,4
489556,20983,2
489556,20981,1
489556,10135,1
489556,20975,8
489556,20977,2
489556,20974,3
489556,21114,15
489556,85123A,3
489556,72760B,2
489556,85232A,1
489556,21876,6
489556,21212,24
489556,22189,2
489556,21217,2
489556,21875,2
489556,20972,1
489556,35971,2
489556,22138,1
489556,22143,2
489556,21486,1
489556,21485,1
489556,22125,1
489556,21479,1
489556,21740,2
489556,22082,5
489556,22195,2
489556,21624,1
489556,21738,2
489556,22280,2
489556,21841,2
489556,84582,1
489556,21621,1
489556,21622,1
489556,21004,2
489556,20718,3
489556,21252,2
489556,84946,6
489556,85231B,2
489556,85231L,1
489556,20750,1
489556,82482,4
489556,85152,4
489556,21174,2
489556,20665,1
489556,82486,2
489556,84837,1
489556,20685,2
489556,48187,1
489556,21490,3
489556,21491,6
489556,21493,2
489556,21480,4
489556,21481,2
489556,21493,8
489556,35971,4
489557,21439,12
489557,16169D,25
489557,16169C,25
489557,21017,192
489557,21731,24
489557,22352,12
489557,22353,6
489557,20685,2
489557,21210,12
489557,21212,24
489557,21238,16
489557,85099B,20
489557,20719,10
489557,21039,12
489557,20712,10
489557,20711,10
489557,21432,8
489557,21424,6
489557,21426,6
489557,20682,6
489557,POST,4
489558,84946,72
489558,21756,6
489558,21754,12
489558,84879,64
489559,22111,2
489559,22114,1
489559,22349,1
489559,21890,1
489559,21891,1
489559,21098,6
489559,22415,2
489559,85048,12
489560,17164D,288
489560,17165D,108
489560,17165B,288
489560,35955,33
489560,85208,1
489560,90090,12
489560,90092,3
489560,16161C,100
489560,22155,12
489560,35160,8
489560,17108D,12
489560,21805,36
489560,90125A,12
489560,84578,1
489560,84901,1
489560,84327A,3
489560,84270,90
489560,21034,3
489560,35931,48
489560,35933,48
489560,90087,48
489560,90092,24
489560,90085,81
489560,90093,24
489560,90084,12
489560,90090,24
489560,90088,24
489560,21034,1
489560,35955,96
489560,35957,144
489561,16169D,25
489561,21805,6
489561,21807,6
489561,21806,6
489561,22294,6
489561,21815,6
489561,21816,6
489561,35051B,6
489561,22153,48
489561,20943,6
489561,72816,6
489561,85038,6
489561,20979,16
489561,20978,16
489561,20942,1
489561,84559A,6
489561,84466,6
489561,20994,3
489561,20992,3
489561,70006,6
489561,70007,6
489561,84670,12
489561,84077,48
489561,84029C,7
489561,22111,1
489561,22113,8
489561,21034,1
489562,22336,1
489562,21817,1
489562,22156,1
489562,22338,1
489562,21825,1
489562,21822,1
489562,22276,1
489562,22277,1
489562,35979,1
489562,22169,1
489562,21700,12
489562,35071,1
489562,84270,30
489562,21890,2
489562,21891,2
489562,47566,1
489562,21344,1
489562,21755,1
489562,21477,1
489562,22143,1
489562,22142,1
489562,85047,1
489562,85099B,2
489562,21929,2
489562,22139,1
489562,20681,1
489562,85014D,1
489562,84837,1
489562,84884A,1
489562,84648,1
489562,84472,1
489562,84910A,1
489562,84656,1
489562,84580,1
489562,84622,2
489562,22151,24
489562,35957,1
489562,35962,1
489562,22337,1
489564,90090,36
489564,90125C,12
489564,90125D,12
489564,90214H,2
489564,90125A,12
489564,90085,81
489564,90092,24
489564,90087,48
489564,90092,3
489564,90090,12
489564,90088,24
489564,90090,24
489564,90084,12
489564,90093,24
489566,20901,6
489566,82483,3
489566,22172,2
489566,22282,4
489566,85067,2
489566,21299,2
489566,21156,8
489566,47591D,8
489567,84352,2
489567,22113,4
489567,85150,6
489567,21908,6
489567,21480,6
489567,84029E,4
489567,21172,12
489567,72127,6
489567,48195,2
489567,21976,24
489567,84992,24
489567,84929,24
489567,85216,12
489567,21649,6
489567,85042,4
489567,21463,2
489567,85162A,1
489567,21761,1
489567,84839,2
489567,85064,2
489569,22415,1
489569,72801F,6
489569,84706C,1
489569,22294,24
489569,22086,5
489569,22156,36
489569,22178,12
489569,72760B,1
489569,21807,36
489569,22154,48
489569,21805,36
489569,22155,48
489569,84839,2
489569,21868,6
489569,21806,36
489569,21804,12
489569,21707,1
489569,21034,1
489571,22189,2
489571,85036C,1
489571,20967,1
489571,20975,1
489571,79323W,1
489571,85099C,2
489571,22162,5
489571,22296,4
489571,22297,8
489571,16237,1
489571,84836,2
489571,85104,1
489571,84813,2
489571,22273,1
489571,22272,1
489571,22271,1
489571,21181,1
489571,21484,1
489571,21479,1
489571,21621,2
489571,21590,1
489571,21587,1
489571,21730,1
489571,22138,1
489571,20894,1
489571,72799D,2
489571,21741,1
489571,21740,1
489571,85071D,1
489571,21724,1
489572,22081,5
489572,22415,1
489572,48187,2
489572,20685,2
489572,48173C,2
489572,21524,1
489572,48197,1
489572,84684,2
489572,20812,2
489572,82494L,2
489572,22035,12
489572,21508,12
489572,22029,12
489572,22027,12
489572,82482,2
489572,21333,2
489572,22297,5
489572,85059,2
489572,21928,2
489572,85099C,2
489572,22197,2
489572,21465,1
489572,21466,1
489572,21467,1
489572,21470,1
489572,21472,1
489572,21471,1
489572,85014B,1
489572,85014C,1
489572,85014A,1
489572,85014D,1
489572,22300,6
489572,84946,6
489572,84977,6
489572,21034,1
489572,22178,6
489572,21314,4
489572,84975,6
489572,21949,1
489572,21948,5
489572,21947,3
489572,22079,5
489572,22080,5
489572,22082,5
489572,21538,2
489572,21534,2
489572,21528,2
489572,21548,1
489572,21684,12
489572,21549,1
489572,21545,1
489572,21547,1
489572,21540,2
489572,85054,2
489572,85053,2
489572,21532,2
489572,21530,2
489572,37444A,2
489572,37444B,2
489573,21955,3
489573,22294,24
489573,22042,12
489573,84247C,1
489573,22034,12
489573,84754,12
489573,84949,6
489573,22295,24
489573,21912,3
489573,21888,4
489573,21754,5
489573,21313,12
489573,84509A,1
489573,84946,30
489573,84510A,1
489573,21587,12
489573,72008,12
489573,22071,4
489573,84340,1
489573,22070,4
489573,84997B,4
489573,84997C,4
489573,22186,11
489573,22139,3
489573,21625,7
489573,21326,60
489573,18096C,6
489573,18097C,6
489573,22113,12
489573,85147,4
489573,21868,3
489573,22138,3
489572,37444C,2
489572,85055,2
489572,85028L,2
489572,85028S,2
489572,22145,2
489572,22142,2
489572,21491,1
489572,21490,2
489572,21214,2
489572,84985B,2
489572,84985A,2
489572,20987,2
489572,20989,2
489572,47021G,4
489572,21911,4
489572,21070,2
489572,21066,2
489572,21067,2
489572,21069,2
489572,21986,12
489572,21985,12
489572,21980,12
489572,22325,3
489572,22320,3
489574,21524,2
489574,48187,1
489574,48185,1
489574,20940,1
489574,72798C,1
489574,40018F,10
489574,40018E,10
489574,85014B,2
489574,85014D,2
489574,85014C,2
489574,85014A,2
489574,85178,10
489574,85176,12
489574,22035,24
489574,22037,24
489574,21893,3
489574,21745,4
489574,17084J,2
489574,71279,2
489574,21417,2
489574,22083,5
489574,22125,2
489574,22088,1
489574,22093,3
489574,84288B,1
489574,21741,3
489574,21740,3
489574,35924,3
489574,20941,4
489574,22138,4
489574,21868,6
489574,82567,2
489574,22088,2
489574,22222,2
489574,85232A,1
489574,21548,1
489574,21547,1
489574,21534,3
489574,21553,1
489574,21554,1
489574,21481,2
489574,21482,3
489574,85232D,2
489574,16169C,25
489574,22215,2
489574,20804,4
489574,21260,6
489574,21875,6
489574,21016,4
489574,21015,4
489574,21014,4
489574,21917,10
489574,21916,10
489574,21918,10
489574,21791,10
489574,21889,12
489574,21098,3
489574,21231,1
489574,21232,4
489574,10135,10
489574,21491,2
489574,21888,3
489574,21913,3
489574,21912,3
489575,35957,96
489575,22138,3
489575,85150,6
489575,21232,12
489575,22069,12
489575,84997A,6
489575,84997B,6
489575,47591D,8
489575,47591C,8
489575,21175,6
489575,21098,12
489575,22064,12
489575,22415,1
489575,48111,2
489575,22215,2
489575,35951,48
489575,21731,12
489575,84991,24
489575,21743,6
489575,21744,6
489575,21482,6
489575,21481,6
489576,85049E,5
489576,85049A,17
489576,84352,1
489576,21842,8
489576,22152,24
489576,84836,12
489576,85048,5
489576,21385,24
489576,22086,10
489576,22296,12
489576,22151,24
489576,21929,3
489576,85099F,3
489576,21928,5
489576,85123A,6
489576,22113,18
489576,35400,1
489579,35001G,2
489579,84855,1
489579,84854,1
489579,72756,9
489579,72741,9
489579,21216,1
489579,22315,2
489579,21244,4
489579,21243,4
489579,21041,4
489579,21155,4
489579,35991,3
489579,21412,2
489579,72799F,3
489579,72799E,3
489579,72799C,2
489579,21500,25
489579,21499,25
489579,21498,25
489579,21246,1
489579,21247,1
489579,21124,4
489579,21122,4
489579,85136C,1
489579,72267,4
489579,21217,1
489579,21218,1
489579,21240,4
489579,21238,2
489579,21239,4
489579,20677,4
489579,20675,4
489579,21986,12
489579,21034,1
489580,21232,24
489580,21231,24
489580,21975,24
489580,21213,24
489580,21977,24
489580,21212,24
489580,84991,24
489580,72756,108
489582,72799B,10
489582,35400,2
489582,84970L,72
489582,21768,1
489582,21477,2
489582,85048,2
489582,84984D,12
489582,84773,18
489582,84601A,6
489581,85174,1
489581,71028B,1
489581,84755,8
489581,22114,1
489581,72267,1
489581,72140F,1
489581,84950,12
489581,85175,64
489581,72487,36
489581,84360,12
489584,21335,1
489585,84832,24
489585,21133,24
489585,84879,16
489585,21755,3
489586,35001W,36
489586,84396,24
489586,35001G,18
489586,72753A,8
489586,72750C,8
489586,21895,4
489590,21733,12
489590,85123A,6
489590,22113,7
489590,85211,1
489590,22086,2
489590,84341B,2
489590,22211,1
489590,22275,1
489590,22283,2
489590,22186,2
489590,22187,2
489590,35001G,2
489590,35001W,2
489590,35400,2
489590,21804,12
489590,21735,2
489590,22295,12
489590,21755,6
489590,22325,1
489590,22320,1
489590,21756,2
489590,22120,2
489590,20685,1
489590,48194,1
489590,48173C,1
489590,48189,1
489590,48116,1
489593,48194,3
489593,21181,12
489593,21761,1
489593,84879,8
489593,85067,1
489593,22113,3
489593,22112,2
489593,21480,2
489593,79323S,4
489593,79323W,6
489593,37503,4
489593,22086,4
489593,21016,1
489593,21257,2
489593,21767,1
489593,85068,1
489593,21768,1
489593,22171,2
489593,21490,4
489593,21491,4
489593,22273,2
489593,22272,2
489593,22349,3
489593,21790,6
489593,21791,3
489593,21591,2
489593,22150,3
489593,21493,5
489593,84855,1
489594,85045,1
489594,85042,1
489594,72349B,4
489594,84596K,7
489594,20977,3
489594,20676,6
489594,20675,4
489594,84596E,5
489594,84596G,5
489594,20975,4
489594,21931,2
489594,85099C,2
489594,21929,2
489594,37448,3
489594,22131,3
489594,37447,2
489594,22055,2
489594,22062,1
489594,84596B,8
489594,21232,12
489594,22055,1
489594,37448,2
489594,22347,6
489594,37448,1
489594,22350,2
489594,21791,4
489594,84507C,1
489594,84507B,1
489594,84508A,2
489594,37450,3
489594,22065,6
489594,79302M,1
489594,21034,3
489594,37502,8
489594,37503,1
489594,37449,2
489594,84534B,4
489594,84535B,8
489594,84536B,8
489594,21875,2
489594,37450,1
489594,22068,2
489594,22064,4
489594,20726,4
489594,20725,3
489594,21216,1
489594,22114,3
489594,22187,2
489594,82482,6
489594,21231,11
489598,20685,2
489598,22180,1
489598,85090,3
489598,21670,12
489598,21671,12
489598,21121,24
489598,21122,24
